ilce_adi,mahalle_adi,arkeolojik_alan
Tuzlukçu,ÇÖĞÜRLÜ,YOK
Tuzlukçu,TURSUNLU,YOK
Tuzlukçu,KUNDULLU,YOK
Tuzlukçu,PAZARKAYA,YOK
Tuzlukçu,SUBATAN,VAR
Tuzlukçu,GÜRSU,YOK
Tuzlukçu,ERDOĞDU,YOK
Tuzlukçu,KÖKLÜCE,YOK
Yalıhüyük,SARAY,YOK
Yalıhüyük,ARASÖĞÜT,YOK
Yunak,KUZÖREN,YOK
Yunak,KOÇYAZI,VAR
Yunak,TURGUT,YOK
Yunak,PİRİBEYLİ,YOK
Yunak,SÜLÜKLÜ,YOK
Yunak,ALTINÖZ,YOK
Yunak,AYRITEPE,VAR
Yunak,BEŞIŞIKLI,YOK
Yunak,CEBRAİL,VAR
Yunak,ÇAYIRBAŞI,YOK
Yunak,EĞRİKUYU,YOK
Yunak,HACIÖMEROĞLU,VAR
Yunak,HATIRLI,YOK
Yunak,HACIFAKILI,YOK
Yunak,HARUNLAR,VAR
Yunak,HURSUNLU,VAR
Yunak,İMAMOĞLU,YOK
Yunak,KARGALI,YOK
Yunak,KARAYAYLA,YOK
Yunak,KILLAR,YOK
Yunak,KURTUŞAĞI,YOK
Yunak,KUYUBAŞI,VAR
Yunak,MEŞELİK,YOK
Yunak,ODABAŞI,YOK
Yunak,ORTAKIŞLA,VAR
Yunak,ÖZYAYLA,YOK
Yunak,SERTLER,YOK
Yunak,SEVİNÇ,YOK
Yunak,SIRAM,YOK
Yunak,SİNANLI,YOK
Yunak,YAVAŞLI,YOK
Yunak,YEŞİLOBA,VAR
Yunak,YEŞİLYAYLA,YOK
Yunak,YIĞAR,YOK
Yunak,SARAY,VAR
