ilce_adi,mahalle_adi,iyi_tarim_uygulamalari
Tuzlukçu,ÇÖĞÜRLÜ,YOK
Tuzlukçu,TURSUNLU,YOK
Tuzlukçu,KUNDULLU,YOK
Tuzlukçu,PAZARKAYA,YOK
Tuzlukçu,SUBATAN,YOK
Tuzlukçu,GÜRSU,YOK
Tuzlukçu,ERDOĞDU,VAR
Tuzlukçu,KÖKLÜCE,YOK
Yalıhüyük,SARAY,YOK
Yalıhüyük,ARASÖĞÜT,YOK
Yunak,KUZÖREN,YOK
Yunak,KOÇYAZI,YOK
Yunak,TURGUT,VAR
Yunak,PİRİBEYLİ,YOK
Yunak,SÜLÜKLÜ,YOK
Yunak,ALTINÖZ,VAR
Yunak,AYRITEPE,YOK
Yunak,BEŞIŞIKLI,YOK
Yunak,CEBRAİL,YOK
Yunak,ÇAYIRBAŞI,YOK
Yunak,EĞRİKUYU,YOK
Yunak,HACIÖMEROĞLU,YOK
Yunak,HATIRLI,VAR
Yunak,HACIFAKILI,YOK
Yunak,HARUNLAR,VAR
Yunak,HURSUNLU,YOK
Yunak,İMAMOĞLU,YOK
Yunak,KARGALI,YOK
Yunak,KARAYAYLA,VAR
Yunak,KILLAR,YOK
Yunak,KURTUŞAĞI,YOK
Yunak,KUYUBAŞI,VAR
Yunak,MEŞELİK,YOK
Yunak,ODABAŞI,YOK
Yunak,ORTAKIŞLA,YOK
Yunak,ÖZYAYLA,YOK
Yunak,SERTLER,VAR
Yunak,SEVİNÇ,YOK
Yunak,SIRAM,YOK
Yunak,SİNANLI,YOK
Yunak,YAVAŞLI,YOK
Yunak,YEŞİLOBA,VAR
Yunak,YEŞİLYAYLA,VAR
Yunak,YIĞAR,YOK
Yunak,SARAY,YOK
